mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rmse,spec_centroid,pitch,audio_path,score
-485.99274,50.11182,8.837244,9.500427,1.9732227,2.533967,-6.8117833,1.5878607,-4.828947,-3.5663483,-2.6805975,-2.683721,-2.3764887,0.14313894643570288,0.015064142,1812.6814534453624,1267.5762,dataset\audios_train\audio_1261.wav,1.0
-418.86237,24.498129,0.983082,3.57754,-11.690801,-2.4841387,-9.580399,-0.94114774,-7.5788364,1.9415146,-4.787622,-2.9341521,-6.1413426,0.10538450978434505,0.037654858,1962.232376968424,1656.7719,dataset\audios_train\audio_942.wav,1.5
-468.62198,55.77344,-6.867956,12.415868,2.6571257,-3.9014418,-1.9497621,-3.6276326,-3.9945936,0.6766661,-5.1727,-3.1839674,-2.695612,0.13268171966520234,0.021167826,2126.1432579339253,1857.4248,dataset\audios_train\audio_1110.wav,1.5
-395.97574,83.70689,-9.338621,22.242304,2.223831,-4.6401095,0.99150884,-5.5420604,-6.2530794,-0.23180613,-7.6159215,-4.440738,-7.586988,0.09466312233759318,0.04144122,1296.0338163287531,1405.2863,dataset\audios_train\audio_1024.wav,1.5
-300.15067,104.4423,-19.612244,7.221632,-6.562626,-9.1363945,-10.110367,-10.232144,-5.13183,-7.5955563,-0.80384535,-4.4980855,-4.217596,0.136809490232295,0.043016095,1601.473149620535,1282.5096,dataset\audios_train\audio_538.wav,2.0
-342.4446,110.13592,15.134086,27.926264,1.0375092,1.4051524,-12.075758,-14.25625,-6.5898376,-9.849928,-3.3497891,-7.3329787,-6.594509,0.10982636115548455,0.05967059,1250.4736807528916,1468.6945,dataset\audios_train\audio_350.wav,2.5
-409.67984,79.64823,16.969114,5.788884,13.616871,12.66669,2.7447662,-8.048544,-4.138663,1.5646365,-5.154646,-6.2546954,-2.6234236,0.1399398982461395,0.038983375,1765.4498974980436,1550.1198,dataset\audios_train\audio_64.wav,2.0
-388.67587,119.64606,25.597889,3.2208276,8.227937,2.0731745,8.473585,16.030853,3.6176684,-3.0538769,5.612014,10.042904,3.884452,0.05022605003439553,0.057120334,870.6487158871428,1365.8629,dataset\audios_train\audio_252.wav,2.0
-398.42627,48.360367,10.747953,18.501427,-11.054338,-9.479748,-11.636159,-5.4378204,-11.778897,-4.0081277,-7.503574,-7.1939096,-2.1517012,0.22280315037606496,0.02877281,2312.270991154723,1805.8031,dataset\audios_train\audio_1304.wav,2.0
-361.5383,68.73541,-13.983569,12.675946,-9.185618,-8.4857235,-20.678865,-11.382567,2.1038382,-9.379879,6.069671,-7.8667097,-3.3248632,0.2160199930111821,0.050744597,2174.6805564303622,1899.3885,dataset\audios_train\audio_1230.wav,2.5
-335.5622,102.25595,20.257565,28.04506,8.752582,-3.1073127,-4.658336,-0.36872995,-0.009999415,-15.981118,-4.42749,-6.0072007,-10.790486,0.11619879257348785,0.048212882,1483.2116169048272,1303.0806,dataset\audios_train\audio_133.wav,2.0
-476.30954,78.131905,1.5581999,6.431151,3.621239,2.1827273,-6.399209,0.9415708,-5.2310143,-4.9624586,-4.3033376,-1.6881546,-5.255123,0.12041592826477636,0.016950501,1610.9145036770824,1240.9346,dataset\audios_train\audio_790.wav,2.5
-334.69427,82.547424,13.092242,26.816002,5.7695823,13.706966,5.2788363,1.5139722,4.7799387,4.846099,-0.68770444,5.317096,-0.66623104,0.1411431813265442,0.026417945,1755.4990012427709,1353.0192,dataset\audios_train\audio_947.wav,2.0
-323.6444,76.39936,38.849136,15.247571,9.098109,-1.0317951,-7.079979,-14.0349865,-12.301322,-16.433037,-8.534765,-5.694238,-6.2477674,0.17100685777755592,0.06002214,1908.5696122744148,1379.9655,dataset\audios_train\audio_288.wav,2.5
